Route_Name,Start_Location,End_Location,Station_Name,Station_Type,Latitude,Longitude,Station_Distance_km,Distance_from_End_km,Fare_INR,Travel_Time_min
Kothrud Depot–Swargate,Kothrud Depot,Swargate,Kothrud Depot Start,Bus,18.508115,73.808926,0.0,6.597,5,0
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 001,Bus,18.507675,73.808368,0.037,6.56,6,1
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 002,Metro,18.508375,73.808071,0.074,6.523,5,0
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 003,Bus,18.508064,73.808749,0.111,6.486,5,0
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 004,Bus,18.508024,73.808466,0.149,6.448,5,0
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 005,Bus,18.508027,73.809829,0.186,6.411,5,0
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 006,Bus,18.50923,73.810544,0.223,6.374,6,4
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 007,Bus,18.509853,73.809509,0.26,6.337,5,2
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 008,Metro,18.50889,73.810616,0.297,6.3,5,2
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 009,Metro,18.510006,73.810169,0.334,6.263,6,2
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 010,Bus,18.507644,73.810682,0.371,6.226,6,0
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 011,Bus,18.506678,73.811087,0.408,6.189,7,1
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 012,Bus,18.507831,73.811974,0.446,6.151,6,3
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 013,Metro,18.508773,73.813701,0.483,6.114,7,4
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 014,Bus,18.509322,73.812085,0.52,6.077,7,3
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 015,Bus,18.507904,73.813286,0.557,6.04,6,3
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 016,Bus,18.507628,73.814704,0.594,6.003,7,1
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 017,Bus,18.50969,73.813209,0.631,5.966,7,1
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 018,Bus,18.507437,73.815014,0.668,5.929,7,2
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 019,Bus,18.508778,73.815267,0.706,5.891,8,1
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 020,Bus,18.507655,73.814144,0.743,5.854,7,4
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 021,Metro,18.508997,73.815007,0.78,5.817,7,1
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 022,Bus,18.508694,73.815814,0.817,5.78,8,5
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 023,Bus,18.508261,73.815548,0.854,5.743,8,5
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 024,Bus,18.509273,73.816419,0.891,5.706,8,2
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 025,Bus,18.509808,73.815454,0.928,5.669,8,4
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 026,Bus,18.508073,73.817722,0.966,5.631,7,4
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 027,Bus,18.509627,73.816447,1.003,5.594,8,6
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 028,Bus,18.510664,73.817485,1.04,5.557,7,1
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 029,Bus,18.510428,73.817792,1.077,5.52,8,6
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 030,Metro,18.511195,73.819489,1.114,5.483,7,6
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 031,Bus,18.509409,73.819208,1.151,5.446,9,4
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 032,Bus,18.510186,73.819872,1.188,5.409,7,3
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 033,Bus,18.508959,73.819672,1.225,5.372,8,6
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 034,Bus,18.510639,73.818062,1.263,5.334,7,5
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 035,Bus,18.508907,73.818184,1.3,5.297,9,4
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 036,Bus,18.5097,73.820736,1.337,5.26,9,4
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 037,Bus,18.511179,73.820567,1.374,5.223,7,4
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 038,Bus,18.511341,73.81975,1.411,5.186,9,5
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 039,Bus,18.508737,73.821156,1.448,5.149,8,6
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 040,Bus,18.510469,73.82152,1.485,5.112,8,5
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 041,Bus,18.508569,73.821821,1.523,5.074,10,5
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 042,Bus,18.509241,73.822774,1.56,5.037,8,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 043,Bus,18.510639,73.821833,1.597,5.0,9,6
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 044,Bus,18.509997,73.822083,1.634,4.963,9,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 045,Bus,18.510419,73.824041,1.671,4.926,8,6
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 046,Bus,18.509742,73.824026,1.708,4.889,8,4
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 047,Bus,18.510168,73.823335,1.745,4.852,9,5
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 048,Bus,18.510568,73.823487,1.782,4.815,9,3
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 049,Bus,18.510272,73.823703,1.82,4.777,10,5
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 050,Bus,18.512349,73.825036,1.857,4.74,9,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 051,Bus,18.510279,73.825525,1.894,4.703,9,8
Kothrud Depot–Swargate,Kothrud Depot,Swargate,Paud Phata,Bus,18.51081,73.825523,1.931,4.666,9,5
Kothrud Depot–Swargate,Kothrud Depot,Swargate,Paud Phata,Bus,18.511391,73.826306,1.931,4.666,9,6
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 054,Bus,18.510613,73.825566,1.969,4.628,10,8
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 055,Bus,18.510956,73.824513,2.007,4.59,10,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 056,Bus,18.510101,73.827775,2.044,4.553,11,9
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 057,Bus,18.512767,73.826809,2.082,4.515,11,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 058,Bus,18.51205,73.827584,2.12,4.477,11,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 059,Bus,18.51419,73.828558,2.157,4.44,10,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 060,Bus,18.511763,73.827225,2.195,4.402,11,6
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 061,Bus,18.510718,73.828479,2.233,4.364,11,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 062,Bus,18.511535,73.827505,2.271,4.326,11,6
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 063,Metro,18.511761,73.828105,2.308,4.289,12,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 064,Bus,18.513766,73.830003,2.346,4.251,11,9
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 065,Bus,18.512548,73.830808,2.384,4.213,11,9
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 066,Bus,18.512754,73.829262,2.422,4.175,11,8
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 067,Bus,18.514048,73.83071,2.459,4.138,10,8
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 068,Bus,18.512138,73.830453,2.497,4.1,11,8
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 069,Bus,18.512405,73.829826,2.535,4.062,11,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 070,Metro,18.513984,73.832787,2.573,4.024,12,11
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 071,Bus,18.512262,73.832037,2.61,3.987,10,10
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 072,Bus,18.512998,73.831524,2.648,3.949,12,9
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 073,Bus,18.513183,73.831549,2.686,3.911,12,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 074,Metro,18.513833,73.831903,2.723,3.874,11,10
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 075,Bus,18.514149,73.832854,2.761,3.836,12,11
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 076,Bus,18.513879,73.832496,2.799,3.798,12,10
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 077,Bus,18.513747,73.834153,2.837,3.76,11,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 078,Bus,18.514747,73.833094,2.874,3.723,11,8
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 079,Bus,18.514563,73.834804,2.912,3.685,13,11
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 080,Bus,18.513286,73.834964,2.95,3.647,13,10
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 081,Bus,18.514229,73.835313,2.988,3.609,12,7
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 082,Bus,18.514287,73.83374,3.025,3.572,13,8
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 083,Bus,18.513733,73.835549,3.063,3.534,12,8
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 084,Bus,18.515381,73.835114,3.101,3.496,12,13
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 085,Bus,18.515822,73.834836,3.139,3.458,13,8
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 086,Bus,18.515396,73.835523,3.176,3.421,13,12
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 087,Bus,18.515065,73.836857,3.214,3.383,12,10
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 088,Bus,18.515036,73.836838,3.252,3.345,13,11
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 089,Bus,18.516667,73.837011,3.289,3.308,13,9
Kothrud Depot–Swargate,Kothrud Depot,Swargate,Nal Stop,Bus,18.516669,73.836896,3.327,3.27,12,11
Kothrud Depot–Swargate,Kothrud Depot,Swargate,Nal Stop,Bus,18.516424,73.838953,3.327,3.27,13,10
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 092,Bus,18.514093,73.837532,3.367,3.23,13,12
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 093,Bus,18.516602,73.838378,3.407,3.19,12,10
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 094,Bus,18.516507,73.838427,3.447,3.15,14,12
Kothrud Depot–Swargate,Kothrud Depot,Swargate,KOT-SWA Stop 095,Bus,18.516349,73.839155,3.486,3.111,12,12
